Tempo;Gesto
15:52:37.189;FECHADA
15:52:37.221;FECHADA
15:52:37.253;FECHADA
15:52:37.286;FECHADA
15:52:37.317;FECHADA
15:52:37.349;FECHADA
15:52:37.382;FECHADA
15:52:37.419;FECHADA
15:52:37.450;FECHADA
15:52:37.482;FECHADA
15:52:37.515;FECHADA
15:52:37.547;FECHADA
15:52:37.578;FECHADA
15:52:37.611;FECHADA
15:52:37.642;FECHADA
15:52:37.675;FECHADA
15:52:37.707;FECHADA
15:52:37.739;FECHADA
15:52:37.772;FECHADA
15:52:37.804;FECHADA
15:52:37.838;FECHADA
15:52:37.874;FECHADA
15:52:37.906;FECHADA
15:52:37.937;FECHADA
15:52:37.969;FECHADA
15:52:38.001;FECHADA
15:52:38.034;FECHADA
15:52:38.067;FECHADA
15:52:38.098;FECHADA
15:52:38.130;FECHADA
15:52:38.165;FECHADA
15:52:38.201;FECHADA
15:52:38.235;FECHADA
15:52:38.267;FECHADA
15:52:38.299;FECHADA
15:52:38.334;FECHADA
15:52:38.366;FECHADA
15:52:38.399;FECHADA
15:52:38.431;FECHADA
15:52:38.464;FECHADA
15:52:38.497;FECHADA
15:52:38.529;FECHADA
15:52:38.561;FECHADA
15:52:38.594;FECHADA
15:52:38.626;FECHADA
15:52:38.660;FECHADA
15:52:38.692;FECHADA
15:52:38.724;FECHADA
15:52:38.756;FECHADA
15:52:38.788;FECHADA
15:52:38.823;FECHADA
15:52:38.858;FECHADA
15:52:38.892;FECHADA
15:52:38.926;FECHADA
15:52:38.959;FECHADA
15:52:38.994;FECHADA
15:52:39.026;FECHADA
15:52:39.059;FECHADA
15:52:39.092;ABERTA
15:52:39.127;FECHADA
15:52:39.160;FECHADA
15:52:39.192;FECHADA
15:52:39.226;FECHADA
15:52:39.259;FECHADA
15:52:39.292;FECHADA
15:52:39.325;FECHADA
15:52:39.358;FECHADA
15:52:39.390;FECHADA
15:52:39.422;FECHADA
15:52:39.458;FECHADA
15:52:39.490;FECHADA
15:52:39.524;FECHADA
15:52:39.557;FECHADA
15:52:39.589;FECHADA
15:52:39.623;FECHADA
15:52:39.658;FECHADA
15:52:39.701;FECHADA
15:52:39.732;FECHADA
15:52:39.764;FECHADA
15:52:39.796;FECHADA
15:52:39.828;FECHADA
15:52:39.860;FECHADA
15:52:39.893;FECHADA
15:52:39.924;FECHADA
15:52:39.956;FECHADA
15:52:39.989;FECHADA
15:52:40.021;FECHADA
15:52:40.055;FECHADA
15:52:40.088;FECHADA
15:52:40.121;FECHADA
15:52:40.153;FECHADA
15:52:40.185;FECHADA
15:52:40.217;FECHADA
