Tempo;FPS
16:09:20;0
16:09:21;0
16:09:22;1
16:09:23;26
16:09:24;31
16:09:25;30
16:09:26;30
16:09:27;31
16:09:28;31
16:09:29;31
16:09:30;30
16:09:31;30
16:09:32;30
16:09:33;8
16:09:34;8
16:09:35;1
16:09:36;17
16:09:37;17
16:09:38;17
16:09:39;18
16:09:40;17
16:09:41;17
16:09:42;17
16:09:43;17
16:09:44;17
16:09:45;18
16:09:46;16
16:09:47;16
16:09:48;17
16:09:49;17
16:09:50;17
16:09:51;15
16:09:52;17
16:09:53;17
16:09:54;17
16:09:55;17
16:09:56;17
