Tempo;Gesto
16:02:30.501;ABERTA
16:02:30.532;ABERTA
16:02:30.564;ABERTA
16:02:30.596;ABERTA
16:02:30.627;ABERTA
16:02:30.659;ABERTA
16:02:30.690;ABERTA
16:02:30.721;ABERTA
16:02:30.753;ABERTA
16:02:30.784;ABERTA
16:02:30.816;ABERTA
16:02:30.847;ABERTA
16:02:30.878;ABERTA
16:02:30.910;ABERTA
16:02:30.942;ABERTA
16:02:30.974;ABERTA
16:02:31.005;ABERTA
16:02:31.037;ABERTA
16:02:31.069;ABERTA
16:02:31.100;ABERTA
16:02:31.131;ABERTA
16:02:31.162;ABERTA
16:02:31.194;ABERTA
16:02:31.225;ABERTA
16:02:31.256;ABERTA
16:02:31.288;ABERTA
16:02:31.319;ABERTA
16:02:31.350;FECHADA
16:02:31.382;FECHADA
16:02:31.414;FECHADA
16:02:31.445;FECHADA
16:02:31.476;FECHADA
16:02:31.508;FECHADA
16:02:31.540;FECHADA
16:02:31.571;FECHADA
16:02:31.603;FECHADA
16:02:31.635;FECHADA
16:02:31.667;FECHADA
16:02:31.698;FECHADA
16:02:31.730;FECHADA
16:02:31.762;FECHADA
16:02:31.794;FECHADA
16:02:31.825;FECHADA
16:02:31.857;FECHADA
16:02:31.889;FECHADA
16:02:31.921;FECHADA
16:02:31.952;FECHADA
16:02:31.984;FECHADA
16:02:32.015;FECHADA
16:02:32.046;FECHADA
16:02:32.078;FECHADA
16:02:32.110;FECHADA
16:02:32.141;FECHADA
16:02:32.173;FECHADA
16:02:32.205;FECHADA
16:02:32.237;FECHADA
16:02:32.268;FECHADA
16:02:32.300;FECHADA
16:02:32.332;FECHADA
16:02:32.364;FECHADA
16:02:32.395;FECHADA
16:02:32.427;FECHADA
16:02:32.458;FECHADA
16:02:32.489;FECHADA
16:02:32.521;FECHADA
16:02:32.553;FECHADA
16:02:32.584;FECHADA
16:02:32.615;FECHADA
16:02:32.647;FECHADA
16:02:32.679;FECHADA
16:02:32.711;FECHADA
16:02:32.742;ABERTA
16:02:32.773;ABERTA
16:02:32.805;ABERTA
16:02:32.837;FECHADA
16:02:32.869;FECHADA
16:02:32.900;FECHADA
16:02:32.932;FECHADA
16:02:32.964;FECHADA
16:02:32.995;FECHADA
16:02:33.027;FECHADA
16:02:33.058;FECHADA
16:02:33.090;FECHADA
16:02:33.122;FECHADA
16:02:33.153;ABERTA
16:02:33.185;ABERTA
16:02:33.217;ABERTA
16:02:33.249;FECHADA
16:02:33.281;FECHADA
16:02:33.313;FECHADA
16:02:33.345;ABERTA
16:02:33.376;ABERTA
16:02:33.408;ABERTA
16:02:33.440;ABERTA
16:02:33.472;ABERTA
16:02:33.503;ABERTA
16:02:33.535;FECHADA
16:02:33.567;FECHADA
16:02:33.598;FECHADA
16:02:33.851;ABERTA
16:02:33.883;ABERTA
16:02:33.914;ABERTA
16:02:33.946;ABERTA
16:02:33.978;ABERTA
16:02:34.009;ABERTA
16:02:34.041;ABERTA
16:02:34.073;ABERTA
16:02:34.104;ABERTA
16:02:34.136;ABERTA
16:02:34.167;ABERTA
16:02:34.198;ABERTA
16:02:34.230;ABERTA
16:02:34.262;ABERTA
16:02:34.293;ABERTA
16:02:34.324;ABERTA
16:02:34.356;ABERTA
16:02:34.387;ABERTA
16:02:34.419;ABERTA
16:02:34.451;ABERTA
16:02:34.482;ABERTA
16:02:34.514;ABERTA
16:02:34.545;ABERTA
16:02:34.577;ABERTA
16:02:34.609;ABERTA
16:02:34.641;ABERTA
16:02:34.672;ABERTA
16:02:34.704;ABERTA
16:02:34.736;ABERTA
16:02:34.767;ABERTA
16:02:34.799;ABERTA
16:02:34.830;ABERTA
16:02:34.865;ABERTA
16:02:34.899;ABERTA
16:02:34.932;ABERTA
16:02:34.963;ABERTA
16:02:34.997;ABERTA
16:02:35.028;ABERTA
16:02:35.059;ABERTA
16:02:35.091;ABERTA
16:02:35.123;ABERTA
16:02:35.154;ABERTA
16:02:35.186;ABERTA
16:02:35.218;ABERTA
16:02:35.250;ABERTA
16:02:35.282;ABERTA
16:02:35.314;ABERTA
16:02:35.346;ABERTA
16:02:35.377;ABERTA
16:02:35.409;ABERTA
16:02:35.535;ABERTA
16:02:35.567;ABERTA
16:02:35.599;ABERTA
16:02:35.631;ABERTA
16:02:35.663;ABERTA
16:02:35.694;ABERTA
16:02:35.916;ABERTA
16:02:35.947;ABERTA
16:02:35.979;ABERTA
16:02:36.197;ABERTA
16:02:36.229;ABERTA
16:02:36.260;ABERTA
16:02:36.292;ABERTA
16:02:36.323;ABERTA
16:02:36.355;ABERTA
16:02:36.386;ABERTA
16:02:36.418;ABERTA
16:02:36.449;ABERTA
16:02:36.481;ABERTA
16:02:36.512;ABERTA
16:02:36.544;ABERTA
16:02:36.576;ABERTA
16:02:36.608;ABERTA
16:02:36.639;ABERTA
16:02:36.671;ABERTA
16:02:36.703;ABERTA
16:02:36.734;ABERTA
16:02:36.766;ABERTA
16:02:36.798;ABERTA
16:02:36.830;ABERTA
16:02:36.863;ABERTA
16:02:36.895;ABERTA
16:02:36.926;ABERTA
16:02:36.958;ABERTA
16:02:36.989;ABERTA
16:02:37.021;ABERTA
16:02:37.053;ABERTA
16:02:37.084;ABERTA
16:02:37.116;ABERTA
16:02:37.147;ABERTA
16:02:37.179;ABERTA
16:02:37.210;ABERTA
16:02:37.243;ABERTA
16:02:37.274;ABERTA
16:02:37.306;ABERTA
16:02:37.337;ABERTA
16:02:37.369;ABERTA
16:02:37.400;ABERTA
16:02:37.432;ABERTA
16:02:37.464;FECHADA
16:02:37.495;FECHADA
16:02:37.527;FECHADA
16:02:37.559;FECHADA
16:02:37.590;FECHADA
16:02:37.622;ABERTA
16:02:37.653;ABERTA
16:02:37.684;ABERTA
16:02:37.716;ABERTA
16:02:37.747;ABERTA
16:02:37.779;ABERTA
16:02:37.811;ABERTA
16:02:37.842;ABERTA
16:02:37.873;ABERTA
16:02:37.905;ABERTA
16:02:37.936;ABERTA
